  gamemain.cpp
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\load.h(1): warning C4067: プリプロセッサ ディレクティブの後に余分な文字がありました - 改行が必要です
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(63): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(67): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(122): warning C4305: '=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(185): warning C4244: '=': 'int' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(219): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(222): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(283): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(287): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(300): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(304): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(324): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(325): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(326): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(345): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(375): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(390): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(396): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(412): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(413): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(443): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(458): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(464): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(480): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(481): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(511): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(525): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(537): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(616): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(617): warning C4244: '初期化中': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(618): warning C4244: '初期化中': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(622): warning C4305: '初期化中': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(653): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(691): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(692): warning C4244: '引数': 'float' から 'int' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(697): warning C4244: '-=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(698): warning C4244: '-=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(720): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(721): warning C4244: '+=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(729): warning C4305: '-=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(731): warning C4305: '+=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(733): warning C4305: '-=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(735): warning C4305: '+=': 'double' から 'float' へ切り詰めます。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(741): warning C4244: '-=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(742): warning C4244: '-=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(751): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
e:\c++プログラミング\これが最終版chap3中ボス実装かつと中間処理 - コピー - コピー\gamemain.cpp(752): warning C4244: '=': 'double' から 'float' への変換です。データが失われる可能性があります。
